ID,Họ Tên,Email,Số Điện Thoại,Thành Phố,Tổng Chi Tiêu
C001,Nguyễn An Bình,anbinh@gmail.com,0901112221,Hà Nội,15000000
C002,Trần Quốc Cường,quoccuong@gmail.com,0901112222,Hồ Chí Minh,24000000
C003,Phạm Minh Đức,minhduc@gmail.com,0901112223,Đà Nẵng,8500000
C004,Lê Thị Hải,thihai@gmail.com,0901112224,Cần Thơ,12000000
C005,Hoàng Gia Huy,giahuy@gmail.com,0901112225,Hải Phòng,5400000
C006,Vũ Tuấn Kiệt,tuankiet@gmail.com,0901112226,Huế,18500000
C007,Đỗ Tuấn Linh,tuanlinh@gmail.com,0901112227,Quang Ninh,32000000
C008,Ngo Thao My,thaomy@gmail.com,0901112228,Khanh Hoa,27000000
C009,Bùi Hoàng Nam,hoangnam@gmail.com,0901112229,Bình Định,14300000
C010,Đặng Minh Nhật,minhnhat@gmail.com,0901112230,Đà Lạt,9600000
C011,Phan Hồng Ngọc,hongngoc@gmail.com,0901112231,Vũng Tàu,21500000
C012,Nguyễn Thanh Phong,thanhphong@gmail.com,0901112232,Quang Nam,6800000
C013,Trần Đình Quân,dinhquan@gmail.com,0901112233,Bình Thuận,11200000
C014,Lê Minh Sang,minhsang@gmail.com,0901112234,Thanh Hóa,8700000
C015,Phạm Thu Thảo,thuthao@gmail.com,0901112235,Kiên Giang,45000000
C016,Võ Duy Uy,duyuy@gmail.com,0901112236,Hà Nội,13200000
C017,Đỗ Quốc Việt,quocviet@gmail.com,0901112237,Hồ Chí Minh,31000000
C018,Nguyễn Hoàng Yến,hoangyen@gmail.com,0901112238,Đà Nẵng,17400000
C019,Lê Anh Tuấn,anhtuan@gmail.com,0901112239,Cần Thơ,22000000
C020,Phạm Hữu Tài,huutai@gmail.com,0901112240,Hải Phòng,9500000
C021,Trần Khắc Tiệp,khactiep@gmail.com,0901112241,Huế,10500000
C022,Bùi Xuân Trường,xuantruong@gmail.com,0901112242,Quang Ninh,41000000
C023,Đặng Bảo Trâm,baotram@gmail.com,0901112243,Khanh Hoa,35000000
C024,Vũ Thị Xuân,thixuan@gmail.com,0901112244,Bình Định,5000000
C025,Nguyễn Quốc Khánh,quockhanh@gmail.com,0901112245,Đà Lạt,16800000
